,label,comment
86,0,菜品 比较 酒水 免费 口味 比较
87,0,服务周到 口味 比较 好评
88,0,机场 找到 味道 不错 经济 实惠
89,0,菜品 新鲜 物美价廉 朋友 一致 好评 麻椒菌花 梅子
90,0,地方 好找 两三次 老板 超级 东西 好吃 推荐 推荐
91,0,学林 比较 好找 主要 干锅 味道 不错 男朋友 两个 吃得饱 分量足 味道 好哟
92,0,太咸 没法 希望 慎重 点餐
93,1,汉堡 里面 生 一个 汉堡 没有 薯条 量少 难吃
94,0,一份 很多 骗人 可能 一份 两根 我点 十五 一半 一个 不够 还花 四十 几块钱 完全 尖商 建议 点餐 朋友 不要 再点 味道不好 份量 更行
95,0,好吃 实惠 里面 免费 蛋炒饭 银耳汤
96,0,食材 新鲜 环境 优雅 价格合理 食材 充足 各式各样 糕点 很漂亮 牛排 大虾 扇贝 食材 新鲜 好吃 甜点 不错 回头客
97,0,还可以 味道 一般 没有 下饭
98,1,一个 上面 有霉点 昨天晚上 早上 发现 居然 四五个 想着
99,0,不错 适合 三两个 朋友 一起 喝个 早茶
100,0,不错 好吃
101,0,一如既往 喜欢 好吃 好吃 好吃 极了
102,0,味道 不错 菜量 一般
103,1,告诉 米饭 馊的
104,0,一如既往 位置 好找 服务态度 喜欢 桂花 米酒 汤圆 红糖 糍粑 桂花 米酒 小汤 脆皮 春卷
105,0,味道 不错 不错 很多 喜欢
106,0,多次 好吃 很香 生意 很好
107,0,牛肉 味道 很好 很足 老板 态度 超级 值得 推荐 下次
108,0,上菜 速度 服务到位 值得 推荐
109,0,经济 实惠 味道 不错 下次 选定 一点 同价位 不能 换菜 能改 一下
110,0,我家 对面 非常 满意 服务员 还会
111,1,不知 泡椒 血旺 臭的
112,0,环境 优雅 安静 舒适 菜品 味道 不错
113,1,刚才 地上 重新 回收 一块 石头 垃圾 这么久 没有 还来 回收 送来 真的
114,0,菜品 新鲜 环境 不错 锅底 太贵
115,0,味道 包装 很漂亮 送货 很快 娃娃 胸前 三朵 粉色 花里 纸片 固体 知道 不能 食用
116,0,味道 服务态度 分量足 值得 再次 品尝
117,0,不错 实惠
118,0,不错 经常 爽歪歪
119,0,多年 老店 味道 服务 推荐
120,0,位置 有点 看着 现做 奶味重 挺不错
121,0,据说 不错 帮别人 团购 团购 划算
122,0,同学 几次 好评 好评
123,1,馊的 不想 香辣
124,0,还可以 糊辣壳 特色 味道 很好 唯一 美中不足 面条 比较 喜欢 吃面 南川 面店 基本上 试吃 总结 起来 大多数 店里 南川 供货 南川 制作 起来 碱性 口感 欠佳 一般 固定 两三家 博赛 一家 黑娃面 面条 好吃 起初 一家 东风路 这家 黑娃面 不好 很好 特色 味道 正宗 挑剔 相当 不错 选择 店家 想要 精益求精 建议 考虑 换家 供货商 知道 卖家 对面 重庆 面熟 她家 面条 听说 是从 万盛
125,0,一个 餐盒 量少
126,0,味道 很好 分量 较足 已经 光顾 多次
127,0,突然 老公 出去 打个 牙祭 真心 失望 味道 不错 价格 划算 完后 真的 节奏 老公 评价 类型 价位 二人 里面 性价比 最高 评分 最高 一家 还会 梅子 加分 一口 一口 开心
128,1,花甲 已经 臭掉 汤汁 一股 馊味
129,0,味道 不错 环境 也好 推荐 川剧 变脸
130,0,一如既往 好吃 现烤 披萨 喜欢
131,0,位置 好找 味道 很好 生意 太好 一会
132,0,好吃 已经 常客 味道 棒棒
133,0,价廉物美 很好
134,0,味道 份量 不足 没有 比萨 奶酪 大饼 一样 没有 好吃
135,0,味道 非常 强烈推荐 一百
136,0,满意 味道 不错 已经 买过 多次
137,0,味道 不错 值得 一去 很赞 好吃
138,0,巴萨 奴纳家 牛排 已经 第一次 牛排 不错 菜品 种类 甜品 水果 一天 推出 不同 主题 感觉良好 希望 以后 惊喜
139,0,环境 食物 店员 耐心
140,1,垃圾 东西 臭的
141,1,饭里 钢丝 第二次 第一次 没说
142,1,一个 钢丝 注意 吞下去 一个 铁丝 嘴里 喉咙 发炎 吞口水 外卖 完全 知道 商家
143,0,味道 环境 干净 性价比 以后
144,0,手枪 鸡腿 棒棒 超级 好吃
145,0,不错 第二次
146,0,味道 绿豆糕 好吃
147,0,蛋糕 很漂亮 味道 很好 叉叉 太小 不好
148,0,菜品 很多 环境 特别 团购 几次 每次 感觉 吃得饱
149,0,环境 好哟 同学 味道 不错 可惜 单反
150,0,两张 蛋糕 挺好吃
151,0,麻兔 鱼香 黄鱼 爱上 蒸蛋 青椒 好吃 周一 周四 不用 排队 很快
152,1,打开 看到 虫子 恶心 一天 吃不下 ...
153,0,第一次 味道 喜欢 以后
154,0,菜品 新鲜 分量足 老板 态度 很好 已经 多次
155,0,附近 一家 比较 双人 套餐 价格 实惠 味道 不错 下次 还会来
156,1,没有 筷子 感觉 一点 不新鲜 昨天晚上 现在 竟然 拉肚子
157,1,一半 发现 中间 有根 钢丝 照片
158,0,不错 服务态度 很好 每次 生意 很好 上菜 速度 经常
159,0,店面 老板 服务 一直 特别 喜欢
160,1,凉皮 味道 一天 肚子 舒服 拉肚子 第一次 这家 希望 有所改进
161,0,帅哥 经理 又帅 服务 以后 经常 光顾 帅哥 经理
162,0,根本 没收 外卖 电话 不接
163,1,臭臭 难吃 小主 不要
164,0,味道 不错 菜品 新鲜 服务周到 店内 环境 不错
165,0,美团 实惠 味道 不错 重庆 地道 口味
166,0,菜品 口味 服务 环境
167,0,朋友 超级 满意 菜品 特别 特别 丰富 新鲜 饮料 相当 随便 关键 味道 很好 环境 很好 价格 便宜 满意 满意 准备 下次 家人 朋友 聚会 家庭聚会 极好
168,0,一份 送还 不能 优先 处理 一下 要不是 外卖 退鬼
169,1,一半 突然 虫
170,1,这家 原来 卫生 盒饭 小强 苍蝇 可惜 郁闷 整只 小强 卫生 吓人 以后 你家 本来 这种 情况 应该 主动 退款 居然 打发 同事 作证 绝对 没说 假话 一共 虫 简直 无语 开始 两盒 打电话 退钱 觉得 夸张 恶心 同事 之间 杂酱 米线 之间 恶心 小强 整只 两款 欣赏 是不是 倒霉 送出 居然 说明 卫生 花汤 套饭 ## 火腿 套餐 ## 杂酱
171,0,一个 小时 饿死
172,0,不错 孩子 下次 还会来 服务 很好 价格
173,0,味道 一如既往 滴巴适 大人 小孩 肚子 圆圆的
174,0,块钱 特色 猪脚 开胃菜 猪脚 分量 一模一样 感觉
175,0,去过 几次 老板 很好 味道 不错
176,1,难吃 一点 不新鲜 完后 拉肚子
177,0,好吃 免费 米线 味道 环境 也好
178,0,口味 喜欢
179,0,服务生 热情 也好 漂亮 位置 好找 装修 超级 比起 火锅店 环境 干净 很多 尤其 马桶 好酷 重点 重点 好吃 虾丸 超级 玉米
180,0,真心 推荐 饮品 味道 很好
181,0,环境 很好 服务 不错 速度 很快
182,1,shen 秘制 花甲 ## 带子 ## 扇贝 花甲 里面 暴多 沙子 一个 下去 心情 扇贝 一个 划成 第一次 眼见
183,1,筷子 份饭 头发
184,0,还可以
185,0,主要 口味 比较 喜欢 上菜 速度
186,0,非常 喜欢 老板娘 很好
187,0,吃不完 不错 好吃
188,1,根本 盐味 牛肉 排骨 不新鲜 异味 以前 这家 点过 几次 干锅 知道 是不是 我用 优惠券 商家 以次充好 以后 不会 光顾
189,0,环境 菜品 不错 服务 很好
190,0,不错 几次 上菜 速度 超快
191,0,服务 很棒 烤肉酱 好吃 老板 很好 好吃 绝对 好评 辣白菜 牛肉 肥牛 五花肉
192,0,味道 不错 所谓 自助餐 简直 一个 档次 环境 不错 值得
193,0,送货 服务
194,0,麻辣 牛肉 好吃 鹅肠 不错 火锅 味道 很好 真的
195,0,外卖 校门
196,0,味道 很好 两个 吃不完 冬瓜 红汤 锅底 莴笋
197,0,好吃 已经 顾客 值得
198,0,环境 味道 团购 不划算 图三 感觉 性价比 太低 知道 不要 哈哈哈哈 哈哈哈 希望 以后 推出 团购 套餐 还会 份量 稍微 多一点点 哈哈哈
199,0,味道 老板娘 服务 周到 喜欢 他家 乌鱼
200,0,牛肉 好吃 味道 地带 朋友 过来 老板 服务 热情
201,0,送货 问题 问问 套餐 里面 上次 这次
202,0,味道 不错 菜品 价格 便宜
203,0,喜欢 这家 块儿 味道 很好
204,0,好吃 难吃
205,1,食材 不好 第二天 拉肚子
206,0,味道 不错 份量 之前 担心 不够 四个 人够
207,0,好吃 中锅 份量 好少 配菜 第一次 失望
208,0,好吃 服务 周道 有意思 特别 很棒 步行街 中间 鱿鱼 西施 对面 好吃 味道 棒棒 店里 觉得 香香的 一般 火锅 底料 好吃 看着 干净 味道 一级 装修 一级 反正 感觉 非常 里面 生意 火爆 好多 服务员 态度 好好 没有 团购 怠慢 板凳 非常 特色 非常 不错 特色 一家 不怕 骄傲
209,0,超级 差评 足足 一个半 小时 分量 很少 一串 半串 两串 一串 偷奸耍滑 最气 商家 自作主张 换掉 菜品 一声 反正 没有 一点 满意
210,0,很足 两个 吃饱 味道 不错 多次
211,0,好吃 干净 卫生 味道 饮料
212,0,第一次 这家 门外 看人 想着 试一下 很多 烤鸭 感觉 他家 烤鸭 皮脆 不腻 黄瓜 新鲜 自助 调料 选择 比较 比较 喜欢 他家 菌菇 青椒 鲜香 突出 服务员 推荐 新菜 糍粑 红糖 没有 太甜 感觉 口感 挺不错 服务员 热情周到 起来 很甜 一个 果盘 愉快 晚餐 下次 还来 希望 这家 越来越
213,0,好吃 不腻 有点 上瘾 几次
214,0,已经 多次
215,0,味道 不错 鸡蛋 真心 好吃 奶茶 好喝
216,1,差评 猪蹄 臭了 恶心 再也 这家 点餐
217,1,我点 两份 到手 两份 米线 清汤 香菇 炖鸡 米线 一股 异味
218,0,菜品 新鲜 麻辣 味道鲜美 服务 热情 环境 很好
219,0,外面 一样 肯定 现做 特别
220,0,很好 实惠
221,0,咖啡 好喝 蛋糕 好吃 不错
222,0,真的 特地 大份 一点点 随便 哪家 一块 分量 辣鸡
223,0,不错 便宜 好吃 很多 太久 等位 不错 开心
224,0,好吃 经常 强力 推荐 不错 不错
225,0,菜品 可口 味道 价格 优惠 上菜 服务周到
226,0,我点 肥牛 结果 一股 羊骚味 绝对 放错 菜品 一般
227,0,不好吃 难吃 郁闷
228,0,团购 特别 划算 味道 不错 鸡蛋 仔比 店铺 甜点 比较 喜欢
229,0,味道 还行
230,1,确实 不能不 差评 龙利鱼 味道 滑肉 没有 熟有 臭味 真的 分量 第一次 差评 确实 以后 不会
231,0,环境 很好 特别 温馨 地方 也好 老板 年轻 姐姐 时候 看到 过程 好多 蔓越莓 料足 味道 超级 以后 还会 很多 diy 推出 支持
232,0,味道 服务 下次 还会来
233,0,酸菜鱼 简直 下次 酸菜鱼 巴适 特色 特色 特色 可惜
234,0,原来 现在 涨价
235,0,味道 不错 服务 很好 性价比 套餐 分量 巨足 半只 烤鸭
236,0,不错 比较 亮点
237,0,第一次 吃饭 清淡 我点 多放醋 结果 感觉 味道 基本 没有
238,1,简直 扇贝 一点 不好吃 花甲 全是 空壳 重点 拉肚子 三天 千万 不要 这家
239,0,特别 晚点 半个 小时 送到 不好吃
240,1,确实 无语 两只 虫 扒起 起来 之前 一次 里面 一根 一单 样子 卫生 质疑
241,0,已经 记不清 第几次 满意 好吃 觉得 原价 一点 团购 合适 小吃
242,0,二人 有点 小贵 味道 不错
243,0,味道 一如既往 今天 骨头 有点 蔬菜 搭配 越来越 丰富 不错
244,0,推荐 喜欢 贡茶 性价比
245,0,值得 购买 好吃 便宜 口感 试试看
246,0,味道 很好 团购 核算 服务 很好 环境 不错
247,0,服务周到 价格合理 味道 不错
248,0,口味 不错 几次 四人餐 三个 比较 合适 凉菜 好吃
249,0,好喝 好喝 好喝 顾客
250,0,划算 味道 很好 小哥 服务态度
251,1,里面 虫子 恶心
252,0,新装修 环境 牛排 味道 不错 价格
253,0,不错 味道 极好 肥肠 非常 价格合理 划算 下次 肥肠
254,0,难吃 鸡全 边角 没得点
255,0,朋友 生日礼物 表示 喜欢 口味 很好 分量 寝室 室友 一起 值得 看看
256,1,里面 居然 钢丝 钢丝
257,0,第二次 团购 味道 真是 非常 非常 强烈推荐 环境 很好 装修
258,0,拉肚子 老公 几天 孕妇 味道 还可以 菜品 新鲜 两个 吃不完 可惜 知道 拉肚子
259,0,楼下 一家 贝尔 麦莎 方便 味道 不错
260,0,服务周到 味道 很好 团购 便宜 两道 不辣 包间 共花 下来 不贵 大赞
261,1,一半 看到 蟑螂 粉转路
262,0,第一次 男朋友 这次 家人 服务周到 食物 美味 五个 人团 两个 双人 木有 分量足 最后 好吃
263,0,味道
264,1,平时 一样 味道 本来 开心 突然 里面 虫 恶心 再也 不吃 华莱士
265,0,不想 一个 小时 送到 味道
266,1,再也不会 送来 东西 臭了 嘴里 各种 怪味 可想 店有 多脏 牛肉 恶心 恶心 黄不拉 顾客 当人
267,0,非常 好吃 服务 热情
268,0,送到 电话 饿死 结果 放在 店里 知道
269,0,去过 多次 冒菜 特别 好吃 环境 很棒 干净 卫生
270,0,蛋糕 不错 口味 很好 再次 选择
271,0,非常 好吃 经常 分量 超级 喜欢
272,0,经常 环境 服务员 态度 很好 收银员 态度 每次 一张 马脸
273,0,今天 朋友 逛街 刚好 看到 有團购 休息 奶茶 味道 不错 服务态度 很好 问题 耐心 回答 很优 平常 休息 上上网 肯定 一大 享受 回去 顺便 打包 几杯 家里 朋友 不错 好评 人气 多多 拉上 一下
274,0,多次 喜欢 信号 不好
275,0,中午 同事 验证 上菜 很快 份量 喜欢 味道 不错 后面 有点咸 没什么 影响 鸳鸯锅 汤圆 不错 好几碗 服务态度 不错 端茶 倒水 速度 很快 环境 下次 还会
276,0,重庆 特色 饮品 必须 重庆 必须 一个 饮品 觉得 红枣 味会 原味
277,0,味道 不错 上菜 下次 还来 地方 容易
278,0,菜品 一如既往 丰富 菜量 单点 还足
279,0,已经 第三次 味道 不错 老板 热情
280,0,特别 难吃
281,0,顾客 一直 喜欢
282,1,越来越 土豆 水臭 鱿鱼 好像 煮熟 味道 怪怪的
283,0,经常 好吃 实惠 下次 再来
284,0,东西 好吃 服务员 很漂亮
285,0,味道 不错 老板 热情
286,1,卫生 米饭 头发 鸡腿 避孕套 当时 吐出来 卫生 想想
287,0,味道 不错 服务 很好 比较 不太好
288,0,辣翅
289,0,已经 回头客 不错
290,0,菜品 新鲜 环境 舒服 服务 周到 顾客
291,0,服务 菜品 分量足 下次 还来 好评
292,1,里面 叶子 蚊子 老板 不能 注意 卫生
293,0,重庆 旅游 串串 这家 店老板 热情 主动 告诉 美团 划算 一共 口味 不错
294,0,好吃 好吃 顾客
295,0,速度 很快 东西 难吃 一般 难吃 紫薯 不错
296,1,虾仁 臭的 别当 消费者 傻子 臭闻
297,1,土豆丝 钢丝网 煎肉 钢丝网 味道
298,0,真的 超级 难吃 有种 怪味 送餐 两个 半小时 明明 备注 不要 生姜 送过来 生姜 味道 办法 海鲜 炒饭 无力 吐槽 包装 还可以
299,0,位置 非常 容易 找到 老板 热情 服务态度 很好 服务员 礼貌 菜品 很多 今天 时候 菜品 很少 希望 老板 推出 一点 菜品 希望 许多许多 免费 小吃 希望 老板 进口 一点 韩国 米酒 日本 米酒 希望 老板 对店 里面 整体 装饰 改变 一下 风格 必尽 日式 烧烤 应该 参加 一点 日式 风格
300,0,榴莲 芒果 披萨 味道 很好 记忆 相差 甚远
301,0,每次 看到 喜欢 好评
302,0,超级 好吃 超级 排队 好久
303,0,好吃 服务 不错 价格 很值
304,0,没熟 夹生饭 米饭
305,0,这家 多次 味道 真心 不错 老板 很好 服务周到 分量 第一次 美团定 划算
306,0,服务态度 一点
307,0,环境 不错 特色 菜品 精致 味道 不错 特色菜 冰鱼 牛排 绝对 老板 服务周到 亲和力 不错 一次 就餐
308,0,还可以 味道 不错 有点 重庆 本色
309,0,好吃 味道 极了 喜欢
310,0,难吃 全是
311,0,第二次 口味 越麻 环境 不错
312,0,饿死 连饿 不想 难吃 肥肉 一般
313,1,主要 好大 一股 添加剂 味道 蛋炒饭 全是 味精 豆皮 洋芋 干辣 味道
314,0,味道 棒棒 团购 划算 不腻 店员 态度 很好 楼下 方便 叉子 塑料 高大 下次 换个 口味 还会
315,0,很好 份量 有点 对得起 价格
316,0,感觉 不错 朋友 照片 味道 不错 客服 热情 值得 购买
317,0,不错 一如既往
318,0,老板娘 热情 鱼好 差不多 两斤 左右 三个 一下下 划算
319,0,不错 味道 地方 好找 顾客
320,0,你家 多次 我点 回锅肉
321,0,味道 不错 一个 葱油饼 小孩 不能 比较
322,0,环境 不错 很足 两个 女生 吃不完 樱花 寿司 土豆 沙拉 好吃
323,0,不错 一家 餐厅 喜欢 他家 装修 风格 菜品 棒棒 下次
324,0,第二次 朋友 小聚 菜品 满意
325,0,小票 顶头 几个 泡椒 肉丝 炒粉 看不见 真是 炒粉 无色 无味 反正 差评 不会 在乎 一个
326,0,这次 孩子 清汤 味道 感觉 一起 比较 经济 干净
327,1,肉夹馍 咬了一口 一股 酸味 一下 臭的 告诉 肉夹馍 这种 味道 没吃过 讲道理 面条 味道 还可以 我点 肉夹馍 最贵 很肥 酸臭 第一次 差评 好自为之
328,0,我点 炮头 大哥 炮头
329,0,不好吃 玉米粒 生 黄瓜片 生 没有 味道 根本 吃不下 鸡排 沙拉酱 鸡排 上面 沙拉酱 酸酸甜甜 诡异 味道
330,0,第一次 评价 这次 送过来 真的 不好吃 外卖 迟到 半个 小时
331,0,服务 味道 热烈 推荐 朋友
332,0,无论是 态度 味道 一级 大赞
333,1,难道 外卖 东西 准备 很差 虾子 知道 拉肚子 剥开 虾子 里面 萎缩 一看 颜色 非常 从来 没有 差评 这是 第一次 觉得 太过分
334,0,经常 非常 不错 提拉 米苏 焦糖 布丁
335,1,薯条 腥味
336,0,芒果 优格果 真的 非常 不错 国庆 期间 接受 美团 最棒 一点 好多 地方 国庆 期间 拒绝 美团 用户 商家 很棒 芒果 味道 很好 里面 果料 充足 配料 好喝 位置 好找 青年 广场 里面
337,0,非常 多次 老板 大方 物品 便宜 味道 很好 下次
338,1,臭的
339,0,味道 不错 去过 几次 环境 一般般
340,0,第二次 光顾 味道 不错 服务 很好 下次 一定 还会来 五花肉 豆腐汤 精品 肥牛
341,1,非常 难吃 生 一个 非常 茄子 上面 蒜蓉 知道 多久 已经 发臭 千千 牛肉 微波炉 加热 肉质 成品 知道 祈祷 刚刚 几口 不要 拉肚子
342,0,份量 味道 不错 还可以 三个 人吃个 小锅 足足有余 比较 口味 适合 有空
343,0,非常 满意 已经 多次 价格 实惠 味道
344,1,香辣 全是 味道 没有 肉质 黄色 提前 告诉 商家 不要 新鲜 这种 没有 良心 商家 搭理 直接 过来 商家 没有 良心 说话 态度恶劣 东西 送到 倒霉 吃亏
345,0,好吃 辣味 十足 小时候 更香 有味
346,0,鸡杂 上面 一层 下面 全是 味道 一般
347,0,菜品 不错 味道 环境 优雅 服务质量 值得 朋友 满意
348,1,几天 海带 变质 谨慎 购买
349,0,真的 难吃 ....
350,0,好吃 尤其 真的 好喝
351,0,二十分钟 取餐 备注 番茄酱
352,0,还可以 39.9 两人餐 分量 很小 上来 分量 很足 味道 不错
353,0,还行 有点 小贵
354,0,口感 很好 环境 不错 服务员 态度 很好
355,0,好吃 多次 菜品 新鲜
356,1,拉肚子 一点 重庆 味道 没有
357,0,一如既往 好吃 第一次 哈哈 时候 生 团购 身为 北方 面食 完全 抵抗力 认真 评价 容易 老板 标点符号 居然 不得 不得已
358,0,脆皮 全鸡 入味 鸡肉 太老 表面 脆皮 薄薄的 一层 表面 大多 脆皮 已经 掉皮 完全 没有 外脆 口感 全鸡 用料 四杯 奶茶 没有 一点 奶茶 全白 凉水 味道 只能 无味 形容 里面 椰果 红豆 可怜 数都数 一杯 主要 不满意 味道 所用 材料 一只 全鸡 四杯 奶茶 店家 两只 一次性 手套 实际上 四个 不够 细心 贴心 改善 认真 写下 体会 希望 一个 参考 非常
359,0,菜品 味道 服务 很好 推荐
360,0,经常 千层 蛋糕 重庆 正宗 千层 真幸福 味道 一如既往 现在 甜品 朋友 试试
361,0,味道 不错 地方 好找 比较 新鲜 价格 合适
362,1,经常 第一次 猪蹄 一口 嘴巴 真心 恶心 直接 猪蹄 米饭 土豆
363,0,味道 一如既往 鱼肉 非常 非常 入味 配菜 非常 好吃 份量 非常 四个 人去 非常 老板娘 非常 热情 服务态度 非常 反正 烤鱼 就认 你家
364,1,真的 不好吃 皮皮虾 完全 味道 太太 不好吃 三个 扔掉 包装 很好 完全 味道 后面 反胃 真话 商家
365,0,经常 工作餐 首选 味道
366,0,服务 菜品 味道 上菜 速度 很快
367,1,红烧 牛肉 已经 难道 店家 发现 牛肉 已经 臭了 肉末 茄子 完全 做糊 土豆丝 难吃 肉丝 正常 太差
368,0,还可以 很大 服务态度
369,0,味道 不错 冬至 夜人 太多 酒水
370,0,味道鲜美 环境优美 菜品 新鲜 服务态度
371,0,几次 不错 选择 下次 还会 光顾
372,0,味道 不错 菜品 丰富 下次 还来
373,1,味道 还可以 卫生 不好 钢丝 吃饭 卫生 不好 口味
374,0,真的 不错 下次 味道 分量足
375,0,味道 一如既往 不错 很赞
376,0,味道 地道 服务员 态度 下次 重庆
377,0,味道 不错 颜色 环境
378,0,分量 好足 两个 觉得 够吃 饮料
379,1,几次 一次 一次 难吃 这次 气氛 鹌鹑蛋 臭的 臭的 简直 举报 心情 老客户
380,1,我点 白菜 水煮 白菜 不新鲜 差评
381,1,以前 多次 费用 拉肚子
382,0,几次 菜品 丰富
383,1,三份 米饭 馊了 打开 饭盒 闻到 不要 没有 发现 馊的 拉坏 肚子 做生意 良心
384,0,良心 这家 味道 确实 不错 现杀 现烤 比较 新鲜 配菜 比较 丰富 老板 热情 价格 超级 划算 强力 推荐
385,0,速度 特别 服务周到 味道 不错
386,0,难吃 食材 他家
387,0,挺不错 划得来 味道 也好
388,0,不错 牛排 很嫩 孩子 只不过 当时 拍照 以后 还会 关照
389,0,味道 一般 烟味儿 特别
390,0,味道 很好 排骨 好吃 下次
391,0,非常 好吃 服务 很好 性价比 超高 一定 一次 希望 继续 保持
392,0,不怎么 好吃
393,0,朋友 服务态度
394,0,味道 真的 很好 单子 太气 真的 好吃
395,0,很棒 大神 操作 独一无二 蛋糕 很香 肯定 好吃 老板 姐姐 很好
396,0,菜品 新鲜 分量足 味道 不错 服务态度 很好 没有 团购 区别对待 非常 值得 一个 火锅 爱好者 一个 地方 以后 他家
397,0,多次 六婆 第一次 差评 两个 份量 这点 筷子 一双 偷工减料 真的 一点点 味道 确实 起码 不要 外卖 偷工减料 好几样 没有 韭菜 白菜 没有 六串 牛肉 两片 基本上 每样 一份 真的 气死 麻烦 店家 不当 顾客 傻子
398,0,好吃 新鲜 下次 还会 考虑 这家
